min,cdn,p2p,bitrate,isp,value,cnt
1582006740,5,1,6000,移动,7,87
1582006740,3,1,6000,电信,10,850
1582006740,5,1,4500,海外,0,16
1582006740,3,0,6000,小运营商,0,5
1582006740,3,1,4500,电信,32,2130
1582006740,5,1,2500,海外,0,16
1582006740,5,1,4500,小运营商,0,14
1582006740,255,2,0,电信,0,3
1582006740,3,1,500,海外,0,17
1582006740,3,0,500,联通,0,28
1582006740,5,0,2500,联通,9,438
1582006740,3,1,500,移动,5,535
1582006740,5,1,2500,联通,5,214
1582006740,3,1,6000,小运营商,1,31
1582006740,7,0,2500,联通,0,1
1582006740,3,1,500,联通,4,157
1582006740,3,0,6000,电信,0,116
1582006800,3,1,500,小运营商,0,16
1582006800,3,0,500,移动,6,62
1582006800,3,1,6000,电信,11,884
1582006800,7,0,2500,电信,0,1
1582006800,3,0,2500,电信,16,280
1582006800,8,1,0,电信,0,1
1582006800,3,1,4500,联通,14,811
1582006800,3,1,500,移动,9,544
1582006800,255,2,0,移动,0,3
1582006800,3,0,6000,电信,2,117
1582006800,5,1,2500,电信,10,379
1582006800,3,0,6000,海外,0,2
1582006800,255,2,0,电信,0,3
1582006800,3,1,4500,移动,39,1717
1582006800,3,1,6000,小运营商,2,32
1582006800,5,0,6000,联通,0,21
1582006800,3,1,4500,电信,35,2256
1582006800,5,1,6000,小运营商,0,11
1582006800,5,1,4500,联通,3,200
1582006800,5,0,0,联通,0,26
1582006800,5,1,2500,移动,6,347
1582006800,3,0,6000,联通,2,58
1582006800,3,1,500,海外,1,13
1582006800,3,1,4500,海外,1,26
1582006800,3,1,6000,联通,5,368
1582006800,5,1,2500,海外,0,12
1582006800,5,0,0,电信,0,15
1582006800,3,0,2500,联通,11,155
1582006800,5,1,4500,移动,11,314
1582006800,3,1,500,联通,1,172
1582006800,3,0,4500,联通,0,101
1582006800,3,0,-1,电信,0,1
1582006800,3,0,500,海外,0,9
1582006800,5,1,2500,联通,6,244
1582006800,3,0,4500,电信,4,220
1582006800,5,1,6000,联通,1,46
1582006800,5,0,500,联通,0,91
1582006800,3,1,500,电信,13,307
1582006800,5,1,500,海外,1,3
1582006800,3,0,6000,移动,0,66
1582006800,5,1,0,联通,0,1
1582006800,5,1,4500,电信,21,407
1582006800,3,1,0,电信,0,1
1582006800,3,1,4500,未知,0,3
1582006800,3,1,2500,小运营商,1,123
1582006800,5,0,2500,联通,7,451
1582006800,5,1,500,联通,4,35
1582006800,5,1,2500,小运营商,0,45
1582006800,3,0,0,移动,1,182
1582006800,5,0,4500,电信,2,13
1582006800,3,0,0,电信,1,201
1582006800,3,1,2500,电信,42,1966
1582006800,5,0,4500,移动,1,21
1582006800,255,2,0,联通,0,2
1582006800,5,1,6000,海外,0,3
1582006800,3,0,500,电信,4,105
1582006800,3,0,500,联通,0,31
1582006800,3,0,6000,小运营商,0,2
1582006800,3,1,2500,海外,0,64
1582006800,3,1,6000,移动,13,550
1582006800,3,1,2500,未知,0,17
1582006800,3,0,0,小运营商,0,6
1582006800,3,0,0,联通,0,72
1582006800,3,1,2500,联通,21,974
1582006800,3,1,2500,移动,54,2025
1582006800,5,1,500,电信,5,63
1582006800,3,0,4500,海外,0,4
1582006800,4,1,500,移动,1,1
1582006800,5,1,4500,小运营商,0,15
1582006800,5,0,0,移动,1,15
1582006800,5,1,500,小运营商,0,3
1582006800,3,0,4500,移动,5,181
1582006800,3,1,500,未知,0,12
1582006800,3,1,6000,海外,0,5
1582006800,5,0,2500,电信,4,43
1582006800,5,0,4500,联通,3,38
1582006800,5,0,6000,移动,0,16
1582006800,5,0,2500,移动,0,59
1582006800,3,0,4500,小运营商,0,23
1582006800,3,0,2500,移动,14,245
1582006800,7,1,0,联通,0,1
1582006800,255,1,2500,电信,0,1
1582006800,3,0,2500,海外,0,6
1582006800,5,0,6000,电信,0,18
1582006800,5,1,6000,移动,11,79
1582006800,5,1,500,移动,4,196
1582006800,5,0,500,移动,3,20
1582006800,5,1,6000,电信,3,115
1582006800,5,0,500,电信,0,15
1582006800,3,0,2500,小运营商,0,16
1582006800,5,1,4500,海外,2,8
1582006800,3,1,4500,小运营商,2,122
1582006860,3,1,4500,电信,30,2434
1582006860,3,0,6000,移动,0,70
1582006860,3,0,500,联通,1,43
1582006860,3,1,500,电信,5,326
1582006860,5,1,2500,电信,9,391
1582006860,5,1,4500,移动,11,355
1582006860,3,0,4500,联通,4,115
1582006860,5,0,500,移动,0,18
1582006860,3,1,500,未知,0,8
1582006860,5,1,2500,移动,10,349
1582006860,3,1,500,小运营商,0,19
1582006860,3,0,4500,海外,0,5
1582006860,5,0,6000,电信,0,18
1582006860,5,0,2500,联通,5,531
1582006860,3,1,2500,移动,60,2098
1582006860,255,2,0,电信,0,3
1582006860,5,0,4500,联通,0,40
1582006860,5,1,2500,海外,0,16
1582006860,3,0,6000,小运营商,0,2
1582006860,5,0,2500,电信,4,48
1582006860,3,1,2500,小运营商,1,125
1582006860,3,1,4500,海外,0,25
1582006860,5,0,0,联通,0,28
1582006860,5,1,4500,小运营商,0,17
1582006860,5,0,2500,移动,1,63
1582006860,5,1,6000,联通,3,46
1582006860,5,0,4500,移动,2,27
1582006860,5,0,6000,移动,0,19
1582006860,3,0,2500,小运营商,3,15
1582006860,5,1,4500,联通,1,227
1582006860,5,1,4500,海外,0,5
1582006860,3,1,0,移动,0,1
1582006860,5,1,500,移动,5,217
1582006860,5,0,0,移动,0,17
1582006860,3,1,500,海外,0,18
1582006860,5,0,6000,联通,0,18
1582006860,5,1,500,电信,1,61
1582006860,5,1,6000,电信,3,130
1582006860,6,1,0,电信,0,1
1582006860,3,1,2500,未知,0,20
1582006860,3,0,2500,海外,0,6
1582006860,3,1,2500,电信,34,2073
1582006860,3,1,500,移动,10,608
1582006860,5,1,6000,移动,7,107
1582006860,5,1,6000,海外,0,3
1582006860,3,1,6000,移动,19,573
1582006860,5,0,0,电信,0,15
1582006860,3,0,6000,海外,0,1
1582006860,3,0,2500,移动,7,272
1582006860,5,0,4500,电信,0,17
1582006860,3,1,6000,联通,4,347
1582006860,5,1,2500,小运营商,1,47
1582006860,3,0,0,电信,0,208
1582006860,3,1,500,联通,4,192
1582006860,3,1,4500,未知,0,6
1582006860,3,1,6000,电信,14,887
1582006860,3,0,500,移动,6,68
1582006860,5,0,500,电信,0,15
1582006860,3,0,500,海外,0,9
1582006860,3,1,4500,小运营商,3,130
1582006860,3,0,4500,电信,4,226
1582006860,5,1,500,联通,0,30
1582006860,5,1,4500,电信,19,391
1582006860,3,0,0,联通,0,80
1582006860,3,1,6000,小运营商,1,29
1582006860,3,0,0,移动,2,189
1582006860,3,0,2500,电信,21,287
1582006860,7,0,0,联通,0,2
1582006860,3,0,500,电信,4,113
1582006860,5,1,6000,小运营商,0,14
1582006860,5,1,500,海外,0,3
1582006860,3,1,6000,海外,0,9
1582006860,3,0,4500,移动,8,192
1582006860,5,1,2500,联通,5,238
1582006860,3,0,0,小运营商,0,6
1582006860,3,1,4500,联通,16,914
1582006860,3,0,2500,联通,12,155
1582006860,3,0,6000,联通,0,64
1582006860,3,0,4500,小运营商,0,24
1582006860,3,0,6000,电信,1,129
1582006860,3,1,2500,海外,1,63
1582006860,3,1,2500,联通,23,971
1582006860,255,2,0,联通,0,2
1582006860,6,0,500,电信,1,1
1582006860,255,2,0,移动,0,3
1582006860,5,0,500,联通,1,101
1582006860,5,1,500,小运营商,0,4
1582006860,3,1,4500,移动,37,1856
1582006920,5,0,0,联通,0,27
1582006920,3,1,2500,联通,27,1044
1582006920,3,0,2500,电信,17,313
1582006920,3,1,2500,小运营商,2,136
1582006920,3,0,2500,海外,0,6
1582006920,3,1,4500,未知,0,5
1582006920,5,1,4500,海外,1,7
1582006920,5,1,6000,海外,0,3
1582006920,5,0,4500,移动,1,26
1582006920,3,0,0,移动,2,195
1582006920,3,0,2500,联通,15,153
1582006920,3,0,6000,联通,2,69
1582006920,5,1,500,小运营商,1,3
1582006920,3,0,0,小运营商,0,6
1582006920,5,1,6000,联通,2,48
1582006920,5,1,4500,移动,2,339
1582006920,3,1,0,移动,0,1
1582006920,3,1,4500,移动,26,1915
1582006920,3,0,6000,海外,0,2
1582006920,255,2,0,移动,0,3
1582006920,3,1,500,小运营商,1,18
1582006920,3,0,6000,小运营商,0,1
1582006920,5,0,0,移动,1,21
1582006920,3,1,2500,海外,0,66
1582006920,5,0,6000,联通,0,18
1582006920,5,0,500,移动,0,20
1582006920,5,0,2500,移动,0,68
1582006920,5,1,500,电信,2,69
1582006920,5,0,6000,移动,0,18
1582006920,3,1,500,未知,0,9
1582006920,3,0,0,联通,0,78
1582006920,5,0,4500,联通,2,45
1582006920,5,0,500,电信,0,15
1582006920,3,1,2500,电信,64,2196
1582006920,5,1,6000,移动,10,111
1582006920,5,1,4500,小运营商,0,23
1582006920,5,1,4500,联通,1,237
1582006920,5,1,2500,移动,9,365
1582006920,5,1,6000,电信,0,118
1582006920,5,0,-1,移动,0,2
1582006920,3,1,6000,海外,1,9
1582006920,3,0,4500,移动,10,184
1582006920,3,0,2500,小运营商,4,19
1582006920,3,0,4500,联通,7,124
1582006920,3,1,6000,联通,5,363
1582006920,5,1,2500,海外,1,24
1582006920,3,1,6000,小运营商,1,25
1582006920,5,1,500,移动,3,236
1582006920,3,1,2500,未知,0,23
1582006920,3,0,0,电信,3,218
1582006920,7,0,2500,电信,0,2
1582006920,5,1,2500,电信,11,395
1582006920,5,0,2500,联通,7,576
1582006920,3,1,2500,移动,54,2218
1582006920,5,0,4500,电信,0,24
1582006920,3,0,4500,海外,0,5
1582006920,3,1,500,海外,0,18
1582006920,3,1,6000,移动,11,563
1582006920,5,1,2500,小运营商,0,46
1582006920,3,1,4500,联通,22,1007
1582006920,5,0,6000,电信,0,19
1582006920,5,1,2500,联通,9,248
1582006920,3,0,500,电信,11,127
1582006920,3,1,500,联通,5,212
1582006920,3,0,2500,移动,12,299
1582006920,255,2,0,联通,0,2
1582006920,3,0,500,海外,0,9
1582006920,5,0,0,电信,2,20
1582006920,3,0,4500,小运营商,0,20
1582006920,5,1,500,海外,1,8
1582006920,3,1,500,移动,5,626
1582006920,3,1,500,电信,8,356
1582006920,5,1,6000,小运营商,0,12
1582006920,3,0,500,移动,5,67
1582006920,3,1,6000,电信,12,882
1582006920,5,1,4500,电信,10,417
1582006920,3,1,4500,海外,1,24
1582006920,3,0,6000,移动,0,70
1582006920,3,0,500,联通,1,47
1582006920,3,1,4500,小运营商,9,138
1582006920,5,1,500,联通,1,31
1582006920,255,2,0,电信,0,3
1582006920,3,0,4500,电信,2,237
1582006920,5,0,500,联通,0,118
1582006920,3,1,4500,电信,28,2473
1582006920,3,0,6000,电信,1,126
1582006920,5,0,2500,电信,2,49
1582006980,3,1,500,电信,8,347
1582006980,3,0,6000,移动,0,66
1582006980,3,1,6000,电信,17,819
1582006980,5,1,6000,小运营商,0,10
1582006980,255,2,0,联通,0,3
1582006980,3,1,2500,移动,62,2052
1582006980,255,2,0,移动,0,3
1582006980,3,0,6000,海外,0,1
1582006980,3,0,6000,联通,3,71
1582006980,3,1,4500,移动,34,1814
1582006980,5,1,4500,移动,6,315
1582006980,3,1,2500,海外,0,68
1582006980,3,0,6000,电信,2,123
1582006980,3,1,500,移动,4,596
1582006980,5,1,2500,移动,6,340
1582006980,3,0,0,联通,2,74
1582006980,5,1,2500,联通,3,212
1582006980,3,0,0,电信,5,223
1582006980,5,0,500,电信,0,17
1582006980,5,0,4500,电信,0,25
1582006980,255,0,4294967,联通,0,1
1582006980,5,1,6000,联通,2,44
1582006980,5,1,500,联通,0,28
1582006980,3,1,4500,未知,0,3
1582006980,3,1,0,电信,0,4
1582006980,5,1,4500,电信,6,367
1582006980,5,1,500,海外,0,6
1582006980,5,0,0,联通,0,27
1582006980,3,0,4500,联通,3,123
1582006980,5,0,500,联通,0,110
1582006980,7,0,0,移动,0,1
1582006980,3,0,2500,电信,30,331
1582006980,3,0,2500,海外,0,6
1582006980,3,0,2500,移动,17,298
1582006980,3,1,2500,联通,15,983
1582006980,5,1,4500,联通,1,196
1582006980,3,1,500,未知,0,9
1582006980,5,0,4500,联通,0,38
1582006980,3,1,6000,联通,6,341
1582006980,5,1,2500,小运营商,0,45
1582006980,3,1,4500,海外,0,27
1582006980,3,1,4500,教育网,0,1
1582006980,5,0,6000,移动,0,19
1582006980,3,0,500,移动,6,71
1582006980,3,0,2500,联通,15,152
1582006980,5,0,2500,移动,6,70
1582006980,3,0,4500,电信,1,237
1582006980,5,0,6000,电信,0,18
1582006980,5,1,500,移动,9,207
1582006980,3,0,0,移动,0,198
1582006980,3,0,2500,小运营商,2,22
1582006980,3,1,2500,电信,37,2012
1582006980,3,1,2500,未知,0,18
1582006980,3,1,4500,小运营商,4,124
1582006980,7,1,0,联通,0,1
1582006980,5,0,6000,联通,0,18
1582006980,4,1,500,移动,0,2
1582006980,5,1,500,小运营商,3,4
1582006980,3,0,0,小运营商,0,6
1582006980,3,1,0,移动,0,1
1582006980,3,1,500,小运营商,0,21
1582006980,5,1,2500,海外,0,22
1582006980,3,0,500,联通,1,43
1582006980,5,1,6000,电信,3,110
1582006980,5,0,500,移动,0,19
1582006980,3,1,2500,小运营商,2,124
1582006980,255,2,0,电信,0,3
1582006980,5,0,2500,电信,1,49
1582006980,3,1,4500,电信,32,2358
1582006980,3,1,500,海外,0,19
1582006980,3,0,500,海外,0,8
1582006980,3,0,4500,海外,0,5
1582006980,5,1,6000,移动,5,95
1582006980,3,0,4500,移动,4,199
1582006980,5,1,500,电信,2,84
1582006980,3,1,6000,海外,0,10
1582006980,5,1,4500,海外,0,5
1582006980,5,1,4500,小运营商,0,27
1582006980,5,1,6000,海外,0,3
1582006980,5,0,4500,移动,0,21
1582006980,3,1,4500,联通,15,959
1582006980,5,0,2500,联通,31,515
1582006980,5,1,2500,电信,5,370
1582006980,3,0,4500,小运营商,0,19
1582006980,3,0,6000,小运营商,0,3
1582006980,3,1,6000,移动,13,509
1582006980,5,0,0,移动,1,25
1582006980,5,0,0,电信,1,21
1582006980,3,1,6000,小运营商,1,29
1582006980,3,0,500,电信,6,111
1582006980,3,1,500,联通,1,204
1582007040,3,1,4500,海外,0,23
1582007040,5,1,4500,联通,1,155
1582007040,5,0,4500,联通,0,30
1582007040,5,1,500,移动,3,175
1582007040,5,1,4500,海外,0,9
1582007040,5,0,6000,移动,0,14
1582007040,3,1,500,未知,0,6
1582007040,7,1,2500,移动,0,1
1582007040,3,0,500,移动,11,64
1582007040,5,1,500,电信,3,87
1582007040,3,1,6000,电信,10,777
1582007040,5,1,4500,移动,4,242
1582007040,5,0,6000,电信,0,18
1582007040,3,1,2500,电信,34,1699
1582007040,3,1,500,电信,14,289
1582007040,5,1,2500,电信,12,333
1582007040,5,0,4500,移动,0,17
1582007040,3,1,2500,未知,1,19
1582007040,3,1,500,移动,10,477
1582007040,5,0,500,移动,0,19
1582007040,3,1,500,小运营商,3,20
1582007040,3,0,2500,小运营商,0,12
1582007040,3,0,0,联通,4,74
1582007040,5,0,2500,移动,4,69
1582007040,5,1,2500,小运营商,0,38
1582007040,3,0,6000,移动,0,66
1582007040,5,0,2500,电信,3,44
1582007040,5,1,2500,移动,6,303
1582007040,5,1,6000,联通,3,55
1582007040,3,0,6000,电信,2,127
1582007040,5,1,6000,电信,4,117
1582007040,3,1,2500,移动,45,1849
1582007040,5,0,0,联通,0,24
1582007040,5,1,500,海外,0,7
1582007040,5,1,4500,电信,6,330
1582007040,3,0,4500,电信,2,224
1582007040,5,0,0,电信,0,20
1582007040,3,1,6000,小运营商,0,21
1582007040,3,1,4500,未知,0,1
1582007040,3,1,0,电信,0,1
1582007040,3,0,500,海外,0,6
1582007040,5,1,2500,联通,3,195
1582007040,3,0,0,移动,0,184
1582007040,3,1,4500,移动,26,1502
1582007040,5,0,500,联通,0,89
1582007040,5,1,0,移动,0,2
1582007040,5,0,4500,电信,0,14
1582007040,5,1,2500,海外,0,19
1582007040,5,0,2500,联通,5,418
1582007040,3,0,6000,海外,0,2
1582007040,3,0,4500,小运营商,0,18
1582007040,3,1,2500,海外,0,51
1582007040,3,1,4500,小运营商,1,115
1582007040,3,1,6000,海外,0,5
1582007040,3,0,4500,移动,11,196
1582007040,3,1,4500,电信,42,2027
1582007040,3,1,500,海外,0,21
1582007040,5,1,4500,小运营商,0,29
1582007040,3,1,2500,联通,25,887
1582007040,3,1,0,移动,0,1
1582007040,3,0,-1,移动,0,1
1582007040,3,0,6000,小运营商,0,5
1582007040,255,2,0,电信,0,3
1582007040,5,0,0,移动,2,27
1582007040,3,0,2500,电信,26,274
1582007040,3,0,2500,海外,0,6
1582007040,3,0,2500,联通,16,150
1582007040,3,1,500,联通,4,169
1582007040,3,1,6000,联通,8,317
1582007040,5,0,-1,电信,0,1
1582007040,3,0,0,电信,4,209
1582007040,3,0,6000,联通,3,62
1582007040,3,0,0,小运营商,0,6
1582007040,255,2,0,联通,0,1
1582007040,3,0,500,电信,4,97
1582007040,3,1,6000,移动,15,455
1582007040,5,1,6000,移动,3,52
1582007040,5,1,6000,小运营商,0,9
1582007040,5,1,500,联通,0,28
1582007040,3,1,2500,小运营商,7,117
1582007040,3,0,4500,联通,3,113
1582007040,3,0,2500,移动,11,231
1582007040,5,1,0,联通,0,1
1582007040,3,0,4500,海外,0,5
1582007040,3,0,500,联通,1,41
1582007040,5,0,6000,联通,0,21
1582007040,255,2,0,移动,0,3
1582007040,5,0,500,电信,0,24
1582007040,5,1,6000,海外,0,3
1582007040,3,1,4500,联通,11,827
1582007100,3,0,0,移动,6,160
1582007100,5,0,500,移动,0,17
1582007100,3,1,2500,小运营商,4,112
1582007100,5,1,6000,电信,2,98
1582007100,7,1,0,移动,0,1
1582007100,5,0,2500,电信,1,39
1582007100,3,0,500,移动,8,64
1582007100,5,1,4500,移动,5,222
1582007100,3,0,6000,电信,2,123
1582007100,5,1,6000,海外,0,3
1582007100,3,1,500,电信,5,288
1582007100,3,1,2500,未知,0,23
1582007100,3,1,4500,海外,0,25
1582007100,5,0,4500,移动,0,16
1582007100,3,1,500,小运营商,1,20
1582007100,3,1,0,移动,0,1
1582007100,5,0,6000,联通,0,24
1582007100,3,0,2500,电信,28,262
1582007100,5,1,2500,电信,4,298
1582007100,3,1,6000,电信,18,740
1582007100,3,0,6000,移动,2,65
1582007100,3,1,6000,联通,2,315
1582007100,3,0,0,小运营商,0,6
1582007100,3,0,500,电信,3,93
1582007100,5,1,2500,移动,9,271
1582007100,3,1,6000,移动,18,408
1582007100,3,0,4500,海外,0,4
1582007100,5,1,2500,小运营商,0,31
1582007100,7,0,500,移动,0,1
1582007100,5,0,0,移动,1,24
1582007100,3,0,-1,联通,0,1
1582007100,3,1,6000,海外,0,6
1582007100,3,0,4500,联通,6,115
1582007100,3,1,4500,移动,18,1448
1582007100,255,2,0,联通,0,2
1582007100,3,0,2500,小运营商,1,9
1582007100,3,1,2500,移动,43,1666
1582007100,3,1,500,移动,4,471
1582007100,3,1,4500,联通,20,791
1582007100,5,1,0,移动,0,1
1582007100,3,0,6000,联通,0,57
1582007100,5,1,6000,联通,1,47
1582007100,5,0,0,联通,0,20
1582007100,5,0,6000,电信,0,16
1582007100,5,1,500,移动,8,163
1582007100,255,2,0,移动,0,3
1582007100,4,1,0,移动,0,1
1582007100,3,0,2500,移动,11,244
1582007100,3,1,2500,电信,41,1607
1582007100,3,0,6000,海外,0,1
1582007100,3,0,4500,移动,3,197
1582007100,5,0,2500,移动,3,66
1582007100,255,2,0,电信,0,3
1582007100,5,0,4500,电信,0,13
1582007100,5,1,6000,小运营商,0,10
1582007100,3,0,4500,小运营商,0,18
1582007100,3,0,0,电信,2,209
1582007100,5,1,500,电信,2,73
1582007100,3,0,2500,联通,19,140
1582007100,3,0,2500,海外,0,6
1582007100,3,1,4500,电信,44,2033
1582007100,3,1,6000,小运营商,0,21
1582007100,5,0,500,电信,0,16
1582007100,3,1,500,海外,0,20
1582007100,3,0,500,联通,1,34
1582007100,5,1,500,联通,0,36
1582007100,5,1,4500,联通,5,149
1582007100,5,1,2500,联通,3,182
1582007100,5,0,4500,联通,0,31
1582007100,3,0,0,联通,0,69
1582007100,5,0,2500,联通,8,392
1582007100,3,1,2500,联通,15,766
1582007100,5,1,2500,海外,0,23
1582007100,5,1,4500,海外,1,10
1582007100,3,1,500,未知,0,6
1582007100,5,0,6000,移动,0,19
1582007100,3,0,6000,小运营商,0,5
1582007100,5,1,6000,移动,1,62
1582007100,5,1,4500,电信,10,320
1582007100,5,1,0,电信,0,1
1582007100,3,1,4500,小运营商,1,98
1582007100,3,1,500,联通,2,143
1582007100,3,1,2500,海外,2,70
1582007100,3,0,4500,电信,2,221
1582007100,5,1,500,海外,0,6
1582007100,5,1,4500,小运营商,0,29
1582007100,5,0,500,联通,2,86
1582007100,5,0,0,电信,0,25
1582007100,3,0,500,海外,0,6
1582007160,3,0,500,移动,7,58
1582007160,3,0,500,电信,6,91
1582007160,3,1,6000,电信,10,779
1582007160,3,1,6000,移动,7,399
1582007160,3,1,2500,电信,52,1636
1582007160,3,1,500,小运营商,2,24
1582007160,3,0,0,小运营商,0,6
1582007160,3,0,0,联通,2,65
1582007160,3,0,4500,联通,2,112
1582007160,3,0,4500,海外,0,5
1582007160,5,0,500,移动,0,17
1582007160,3,1,6000,联通,2,320
1582007160,3,1,4500,小运营商,3,110
1582007160,3,0,2500,电信,23,261
1582007160,5,1,2500,小运营商,1,30
1582007160,3,0,6000,电信,2,110
1582007160,5,0,0,联通,0,18
1582007160,3,1,500,移动,5,503
1582007160,3,1,4500,移动,31,1503
1582007160,3,0,6000,海外,0,2
1582007160,255,2,0,移动,0,3
1582007160,3,1,4500,海外,0,27
1582007160,3,0,6000,移动,2,74
1582007160,3,1,500,电信,6,311
1582007160,5,1,6000,电信,3,96
1582007160,5,0,2500,移动,1,70
1582007160,5,1,500,电信,2,75
1582007160,5,1,6000,小运营商,0,9
1582007160,5,0,6000,联通,0,24
1582007160,3,1,4500,电信,42,2027
1582007160,3,1,500,海外,0,13
1582007160,5,0,4500,电信,0,15
1582007160,5,0,500,联通,1,90
1582007160,3,0,500,联通,0,37
1582007160,3,1,4500,未知,0,1
1582007160,3,1,0,电信,0,1
1582007160,5,1,4500,移动,5,223
1582007160,5,1,4500,电信,16,304
1582007160,3,0,0,移动,1,152
1582007160,3,0,2500,小运营商,0,9
1582007160,6,1,2500,联通,0,1
1582007160,3,0,-1,电信,0,3
1582007160,5,0,4500,移动,0,16
1582007160,5,1,6000,海外,0,3
1582007160,5,1,2500,联通,3,176
1582007160,5,0,2500,联通,8,373
1582007160,5,1,500,海外,0,6
1582007160,3,0,0,电信,2,209
1582007160,255,2,0,电信,0,3
1582007160,5,1,500,联通,0,36
1582007160,5,1,4500,海外,0,6
1582007160,5,0,6000,移动,0,18
1582007160,3,0,4500,小运营商,0,19
1582007160,3,1,500,未知,0,5
1582007160,3,0,6000,小运营商,0,5
1582007160,5,1,6000,移动,2,61
1582007160,5,0,500,电信,3,15
1582007160,5,1,2500,移动,7,282
1582007160,5,1,6000,联通,0,45
1582007160,3,1,2500,海外,1,64
1582007160,5,0,0,电信,0,24
1582007160,8,1,0,移动,1,1
1582007160,3,0,500,海外,0,6
1582007160,3,0,2500,联通,18,136
1582007160,3,0,4500,电信,4,227
1582007160,3,1,2500,小运营商,4,116
1582007160,3,1,500,联通,2,136
1582007160,3,0,2500,海外,0,6
1582007160,3,1,2500,联通,20,827
1582007160,5,0,4500,联通,3,38
1582007160,5,1,4500,联通,3,163
1582007160,5,1,2500,海外,0,27
1582007160,8,1,2500,移动,0,1
1582007160,5,0,6000,电信,0,21
1582007160,3,1,4500,联通,14,773
1582007160,3,0,2500,移动,6,237
1582007160,3,1,2500,未知,0,19
1582007160,5,1,2500,电信,10,330
1582007160,3,1,6000,小运营商,1,19
1582007160,255,2,0,联通,0,1
1582007160,3,0,6000,联通,1,53
1582007160,3,1,6000,海外,0,3
1582007160,5,1,500,移动,4,162
1582007160,5,0,2500,电信,0,37
1582007160,5,0,0,移动,0,16
1582007160,3,1,2500,移动,46,1802
1582007160,5,1,4500,小运营商,0,36
1582007160,3,0,2500,未知,0,2
1582007160,3,0,4500,移动,7,192
1582007220,3,0,4500,电信,6,236
1582007220,5,0,4500,移动,0,16
1582007220,5,0,6000,联通,0,25
1582007220,3,1,6000,小运营商,1,23
1582007220,3,1,6000,电信,9,866
1582007220,5,1,500,联通,0,42
1582007220,3,1,500,移动,11,572
1582007220,5,0,4500,电信,1,10
1582007220,3,0,2500,小运营商,0,14
1582007220,3,1,4500,小运营商,4,123
1582007220,3,1,2500,联通,15,872
1582007220,5,1,6000,电信,4,97
1582007220,5,0,500,移动,0,22
