min,cdn,bitrate,p2p,device,isp,platform,gameid,value,cnt
1581771780,7,8000,0,C6,电信,pc_exe_template,3203,6,250
1581771840,7,4500,0,C8,电信,pc_exe_template,3203,2,5
1581772200,7,2500,0,C8,移动,pc_exe_template,3203,0,6
1581772260,3,8000,1,C3,联通,pc_exe_template,3203,1,2
1581772320,3,8000,0,C6,电信,pc_exe_template,3203,0,11
1581771240,3,4500,1,C8,电信,pc_exe_template,3203,0,2
1581771360,5,4500,1,C1,浙江华数/联通,pc_exe_template,3203,2,6
1581771420,5,2500,1,C1,陕西广电/联通/电信,pc_exe_template,3203,0,3
1581771840,7,4500,1,C8,浙江华数/联通,pc_exe_template,3203,0,1
1581771900,7,2500,1,C8,陕西广电/联通/电信,pc_exe_template,3203,0,2
1581771960,7,2500,1,C1,鹏博士,pc_exe_template,3203,6,55
1581772380,7,2500,1,C1,电信,pc_exe_template,3203,55,2070
1581771660,3,2500,1,C1,湖北广电,pc_exe_template,3203,0,9
1581771720,3,500,1,C1,移动,pc_exe_template,3203,3,75
1581771720,7,8000,0,C1,移动,pc_exe_template,3203,0,3
1581772200,3,2500,1,C8,移动,pc_exe_template,3203,0,7
1581771780,5,4500,1,C1,陕西广电/联通/电信,pc_exe_template,3203,0,2
1581771960,7,500,1,C8,鹏博士,pc_exe_template,3203,0,3
1581772320,7,2500,1,C5,广电网/联通,pc_exe_template,3203,0,2
1581772380,7,2500,1,C1,*,pc_exe_template,3203,0,19
1581772380,7,500,1,C8,电信,pc_exe_template,3203,0,60
1581771600,3,0,0,C2,电信,pc_exe_template,3203,2,61
1581771780,7,4500,1,C1,方正宽带/电信,pc_exe_template,3203,0,9
1581772200,5,2500,1,C5,电信,pc_exe_template,3203,0,21
1581772200,7,0,0,C2,浙江华数/联通,pc_exe_template,3203,0,4
1581771360,7,8000,0,C6,移动,pc_exe_template,3203,2,147
1581771420,7,4500,0,C8,移动,pc_exe_template,3203,1,24
1581771480,3,2500,0,C1,联通,pc_exe_template,3203,0,15
1581771840,7,2500,0,C6,鹏博士/电信,pc_exe_template,3203,1,3
1581771900,3,8000,0,C6,移动,pc_exe_template,3203,0,6
1581771960,3,4500,0,C8,移动,pc_exe_template,3203,0,5
1581772020,3,8000,0,C7,电信,pc_exe_template,3203,0,15
1581772080,7,2500,1,C1,m1.com.sg,pc_exe_template,3203,1,3
1581772080,7,2500,1,C1,方正宽带/电信,pc_exe_template,3203,0,3
1581771240,7,500,0,C8,tm.com.my,pc_exe_template,3203,0,2
1581771300,3,4500,0,C1,移动,pc_exe_template,3203,1,3
1581771300,5,2500,0,C1,联通,pc_exe_template,3203,7,345
1581771720,5,8000,0,C6,移动,pc_exe_template,3203,0,5
1581771720,7,0,0,C2,湖北广电,pc_exe_template,3203,3,6
1581771780,7,2500,0,C8,联通,pc_exe_template,3203,1,4
1581771840,5,8000,0,C7,电信,pc_exe_template,3203,0,3
1581772320,5,2500,1,C1,广西广电/联通,pc_exe_template,3203,0,3
1581772380,7,2500,1,C5,移动,pc_exe_template,3203,2,101
1581771540,5,2500,1,C1,maxis.com.my,pc_exe_template,3203,0,3
1581771540,7,2500,1,C1,珠江宽频/联通,pc_exe_template,3203,0,1
1581771780,3,8000,1,C3,电信,pc_exe_template,3203,1,9
1581771780,7,500,0,C1,湖北广电,pc_exe_template,3203,4,8
1581772380,7,8000,1,C3,浙江华数/联通,pc_exe_template,3203,0,1
1581771480,7,4500,1,C3,鹏博士,pc_exe_template,3203,0,11
1581771600,5,500,1,C1,湖北广电,pc_exe_template,3203,0,3
1581771840,7,4500,0,C2,移动,pc_exe_template,3203,56,108
1581771900,7,4500,1,C3,电信,pc_exe_template,3203,13,338
1581772020,7,500,1,C1,黑龙江广电,pc_exe_template,3203,0,3
1581772260,7,2500,1,C3,移动,pc_exe_template,3203,12,397
1581772380,3,4500,0,C2,移动,pc_exe_template,3203,3,32
1581772380,5,2500,0,C2,联通,pc_exe_template,3203,12,32
1581771600,3,500,1,C1,联通,pc_exe_template,3203,0,9
1581771720,5,2500,1,C3,*,pc_exe_template,3203,0,2
1581771840,7,2500,0,C2,联通/电信/铁通,pc_exe_template,3203,2,8
1581771960,7,-1,0,C2,广电网/电信,pc_exe_template,3203,0,1
1581772320,7,4500,0,C6,移动,pc_exe_template,3203,0,73
1581771780,7,4500,0,C1,电信,pc_exe_template,3203,2,45
1581771900,5,2500,1,C1,广电网/联通,pc_exe_template,3203,0,3
1581772140,7,2500,0,C1,移动,pc_exe_template,3203,4,26
1581772320,3,4500,0,C1,电信,pc_exe_template,3203,0,3
1581771600,7,4500,0,C1,珠江宽频/联通,pc_exe_template,3203,0,3
1581771600,7,4500,1,C8,联通,pc_exe_template,3203,1,106
1581771660,3,500,1,C3,移动,pc_exe_template,3203,0,11
1581771660,5,0,1,C5,电信,pc_exe_template,3203,0,2
1581771660,7,8000,0,C3,移动,pc_exe_template,3203,0,1
1581771960,7,4500,1,C1,广电网,pc_exe_template,3203,0,16
1581772140,3,4500,1,C8,联通,pc_exe_template,3203,0,11
1581772200,3,8000,0,C3,移动,pc_exe_template,3203,0,3
1581771300,3,4500,1,C3,联通,pc_exe_template,3203,0,14
1581771300,5,4500,1,C1,歌华有线/电信/铁通,pc_exe_template,3203,0,3
1581771300,7,2500,0,C7,电信,pc_exe_template,3203,1,6
1581771360,7,8000,0,C6,天威视讯/联通,pc_exe_template,3203,0,1
1581771540,3,500,0,C3,广东广电/联通,pc_exe_template,3203,1,3
1581771720,5,2500,1,C1,电信,pc_exe_template,3203,12,285
1581771720,5,8000,1,C5,电信,pc_exe_template,3203,3,6
1581771780,7,2500,1,C8,鹏博士,pc_exe_template,3203,1,5
1581771960,5,500,1,C1,digi.com.my,pc_exe_template,3203,0,2
1581772200,7,2500,1,C8,电信,pc_exe_template,3203,0,104
1581771420,5,4500,1,C3,联通,pc_exe_template,3203,0,32
1581771840,3,0,0,C2,广西广电/联通,pc_exe_template,3203,0,1
1581771840,7,8000,1,C5,电信,pc_exe_template,3203,0,12
1581771960,3,2500,1,C1,鹏博士,pc_exe_template,3203,0,3
1581772380,3,2500,1,C1,电信,pc_exe_template,3203,11,162
1581772380,3,8000,1,C5,电信,pc_exe_template,3203,3,13
1581771360,7,0,0,C2,电信,pc_exe_template,3203,5,197
1581771900,3,0,0,C2,电信,pc_exe_template,3203,0,51
1581771900,5,8000,0,C6,联通,pc_exe_template,3203,0,10
1581771960,5,4500,0,C8,联通,pc_exe_template,3203,0,2
1581772080,7,4500,1,C1,方正宽带/电信,pc_exe_template,3203,0,10
1581772380,3,8000,0,C7,移动,pc_exe_template,3203,0,6
1581771360,7,4500,0,C2,移动,pc_exe_template,3203,1,82
1581771660,5,500,1,C8,移动,pc_exe_template,3203,0,3
1581771900,3,4500,0,C2,移动,pc_exe_template,3203,0,18
1581771900,5,2500,0,C2,联通,pc_exe_template,3203,1,41
1581771960,7,8000,1,C3,天威视讯/联通,pc_exe_template,3203,0,1
1581772020,5,2500,0,C5,联通,pc_exe_template,3203,3,4
1581772080,5,4500,0,C6,电信,pc_exe_template,3203,0,4
1581771540,7,2500,1,C1,*,pc_exe_template,3203,0,20
1581771540,7,2500,1,C1,smart.com.ph,pc_exe_template,3203,0,1
1581771780,5,4500,0,C2,电信,pc_exe_template,3203,0,19
1581772140,5,2500,0,C2,移动,pc_exe_template,3203,8,69
1581772320,5,4500,1,C1,联通/电信/铁通,pc_exe_template,3203,0,6
1581771300,5,4500,1,C8,电信,pc_exe_template,3203,0,1
1581771540,7,2500,1,C1,黑龙江广电,pc_exe_template,3203,0,5
1581771960,3,4500,1,C1,浙江华数/联通,pc_exe_template,3203,1,3
1581771960,3,4500,1,C8,laotel.com,pc_exe_template,3203,0,3
1581772020,7,4500,1,C3,联通,pc_exe_template,3203,6,139
1581771540,3,0,0,C2,广电网/联通,pc_exe_template,3203,0,3
1581771900,7,4500,0,C2,电信,pc_exe_template,3203,12,91
1581772200,5,2500,1,C1,*,pc_exe_template,3203,0,1
1581772260,7,2500,0,C2,移动,pc_exe_template,3203,16,231
1581772380,7,2500,0,C5,移动,pc_exe_template,3203,0,1
1581772440,7,4500,1,C1,联通/电信/铁通,pc_exe_template,3203,0,1
1581772020,3,500,0,C8,移动,pc_exe_template,3203,0,1
1581771240,3,0,0,C2,电信,pc_exe_template,3203,0,50
1581771420,7,4500,1,C1,方正宽带/电信,pc_exe_template,3203,0,6
1581771900,7,2500,1,C1,广东广电/联通,pc_exe_template,3203,2,11
1581771960,3,4500,1,C1,方正宽带/电信,pc_exe_template,3203,0,3
1581772080,3,8000,1,C1,湖北广电,pc_exe_template,3203,0,3
1581772080,7,8000,0,C6,广电网,pc_exe_template,3203,0,8
1581771420,5,8000,1,C5,移动,pc_exe_template,3203,0,6
1581771420,7,500,1,C1,移动,pc_exe_template,3203,10,350
1581771900,5,2500,1,C5,鹏博士/电信,pc_exe_template,3203,0,3
1581771960,7,8000,0,C1,移动,pc_exe_template,3203,0,3
1581772080,3,4500,1,C8,电信,pc_exe_template,3203,0,5
1581771240,7,4500,1,C1,方正宽带/电信,pc_exe_template,3203,0,3
1581771660,7,0,0,C2,浙江华数/联通,pc_exe_template,3203,0,2
1581771720,7,2500,1,C1,广东广电/联通,pc_exe_template,3203,2,13
1581771780,3,4500,1,C1,方正宽带/电信,pc_exe_template,3203,0,3
1581771900,3,8000,1,C1,湖北广电,pc_exe_template,3203,0,5
1581771900,7,8000,0,C6,广电网,pc_exe_template,3203,0,5
1581772260,3,2500,1,C1,广东广电/联通,pc_exe_template,3203,0,4
1581771360,3,0,0,C2,联通,pc_exe_template,3203,1,14
1581771420,7,4500,1,C5,移动,pc_exe_template,3203,0,6
1581771600,7,2500,1,C1,鹏博士/电信,pc_exe_template,3203,0,6
1581771660,3,8000,1,C1,移动,pc_exe_template,3203,2,42
1581771720,7,2500,0,C3,鹏博士,pc_exe_template,3203,0,5
1581772140,3,2500,1,C1,鹏博士/电信,pc_exe_template,3203,0,3
1581772140,7,2500,0,C3,电信,pc_exe_template,3203,1,5
1581772200,5,0,0,C2,广电网,pc_exe_template,3203,0,3
1581772260,7,500,1,C3,fetnet.net,pc_exe_template,3203,0,1
1581771240,7,0,0,C2,天威视讯/联通,pc_exe_template,3203,0,3
1581771720,7,2500,1,C8,skbroadband.com,pc_exe_template,3203,0,3
1581772080,3,4500,1,C1,湖北广电,pc_exe_template,3203,3,9
1581772080,7,4500,0,C6,广电网,pc_exe_template,3203,0,1
1581772140,5,500,1,C1,联通,pc_exe_template,3203,1,40
1581771660,3,2500,0,C1,移动,pc_exe_template,3203,3,15
1581771660,5,8000,1,C3,联通,pc_exe_template,3203,0,5
1581771720,5,8000,0,C6,电信,pc_exe_template,3203,0,3
1581772140,3,4500,1,C3,鹏博士/电信,pc_exe_template,3203,0,6
1581772380,7,2500,1,C5,电信,pc_exe_template,3203,5,113
1581771540,3,2500,0,C3,联通,pc_exe_template,3203,0,6
1581772260,7,4500,1,C1,鹏博士/电信,pc_exe_template,3203,0,6
1581772320,5,8000,1,C1,联通,pc_exe_template,3203,0,17
1581771540,3,-1,0,C2,移动,pc_exe_template,3203,0,1
1581771720,5,8000,0,C2,电信,pc_exe_template,3203,0,6
1581771780,7,2500,0,C2,广西广电/联通,pc_exe_template,3203,1,3
1581771840,7,500,0,C1,电信,pc_exe_template,3203,10,18
1581772080,3,4500,1,C8,广电网/电信,pc_exe_template,3203,0,3
1581771300,5,2500,1,C5,电信,pc_exe_template,3203,0,11
1581771420,7,2500,0,C1,鹏博士,pc_exe_template,3203,0,3
1581771720,3,500,0,C2,广电网/电信,pc_exe_template,3203,0,3
1581771840,7,2500,0,C1,bite.lt,pc_exe_template,3203,1,2
1581771840,7,2500,0,C1,电信,pc_exe_template,3203,20,25
1581771900,5,500,1,C1,广东广电/联通,pc_exe_template,3203,0,3
1581772020,5,2500,1,C1,移动/铁通,pc_exe_template,3203,1,3
1581772200,7,8000,1,C3,移动,pc_exe_template,3203,1,10
1581771600,5,2500,1,C5,联通,pc_exe_template,3203,0,6
1581772140,5,4500,0,C1,移动,pc_exe_template,3203,0,3
1581772140,7,2500,0,C1,联通,pc_exe_template,3203,0,36
1581772260,5,500,1,C1,yes.my,pc_exe_template,3203,0,3
1581771240,3,8000,1,C1,电信,pc_exe_template,3203,1,33
1581771300,5,2500,1,C1,广西广电/联通,pc_exe_template,3203,0,3
1581771360,7,2500,1,C5,移动,pc_exe_template,3203,4,101
1581771600,5,4500,1,C1,广东广电/联通,pc_exe_template,3203,0,5
1581771720,5,8000,1,C8,电信,pc_exe_template,3203,0,3
1581771720,7,4500,1,C1,移动/铁通,pc_exe_template,3203,0,1
1581772080,3,2500,1,C1,天威视讯/联通,pc_exe_template,3203,0,3
1581772080,7,4500,1,C8,广东广电/联通,pc_exe_template,3203,0,1
1581772380,7,2500,1,C3,珠江宽频/联通,pc_exe_template,3203,2,3
1581771300,7,2500,0,C7,移动,pc_exe_template,3203,0,3
1581771360,7,4500,1,C3,hgc.com.hk,pc_exe_template,3203,2,3
1581771420,7,4500,1,C8,鹏博士,pc_exe_template,3203,0,14
1581771720,5,2500,1,C1,移动,pc_exe_template,3203,18,409
1581771720,5,8000,1,C5,移动,pc_exe_template,3203,0,9
1581771780,7,8000,1,C6,电信,pc_exe_template,3203,0,5
1581771840,7,4500,1,C8,电信,pc_exe_template,3203,0,357
1581771960,3,4500,1,C8,鹏博士,pc_exe_template,3203,0,5
1581772200,5,2500,1,C5,鹏博士/电信,pc_exe_template,3203,0,3
1581772200,7,2500,1,C8,移动,pc_exe_template,3203,4,112
1581772380,3,4500,1,C8,电信,pc_exe_template,3203,0,8
1581771600,5,4500,1,C1,移动,pc_exe_template,3203,6,278
1581771600,7,2500,1,C1,联通,pc_exe_template,3203,36,875
1581771600,7,8000,1,C5,联通,pc_exe_template,3203,0,11
1581771660,7,500,0,C2,湖北广电,pc_exe_template,3203,0,6
1581771780,5,500,1,C3,电信,pc_exe_template,3203,0,8
1581772080,7,4500,1,C8,移动,pc_exe_template,3203,0,166
1581772140,3,2500,1,C1,联通,pc_exe_template,3203,10,90
1581771360,5,500,0,C1,电信,pc_exe_template,3203,0,5
1581771840,7,4500,0,C6,广电网/电信,pc_exe_template,3203,0,4
1581771840,7,500,0,C8,电信,pc_exe_template,3203,1,16
1581772020,7,2500,1,C1,鹏博士/联通,pc_exe_template,3203,0,3
1581771480,7,500,1,C5,移动,pc_exe_template,3203,0,6
1581771540,5,8000,1,C8,cloudinnovation.org,pc_exe_template,3203,0,3
1581771780,5,2500,1,C1,广电网/联通,pc_exe_template,3203,0,3
1581771900,7,8000,0,C2,移动,pc_exe_template,3203,1,12
1581772020,3,500,1,C5,移动,pc_exe_template,3203,0,3
1581772020,7,8000,0,C5,移动,pc_exe_template,3203,0,1
1581772200,3,4500,0,C1,电信,pc_exe_template,3203,0,3
1581771960,7,2500,0,C3,湖北广电,pc_exe_template,3203,0,2
1581771960,7,500,1,C8,cht.com.tw,pc_exe_template,3203,0,1
1581772020,5,4500,0,C1,联通,pc_exe_template,3203,0,12
1581771600,7,2500,1,C3,浙江华数/联通,pc_exe_template,3203,1,2
1581771960,3,0,1,C5,移动,pc_exe_template,3203,0,1
1581772320,7,500,0,C2,鹏博士,pc_exe_template,3203,0,6
1581771420,7,2500,0,C7,移动,pc_exe_template,3203,0,3
1581771600,3,4500,0,C7,电信,pc_exe_template,3203,0,3
1581771840,5,8000,1,C5,移动,pc_exe_template,3203,0,9
1581771840,7,500,1,C1,移动,pc_exe_template,3203,14,436
1581772080,3,4500,1,C8,鹏博士,pc_exe_template,3203,0,5
1581772320,5,2500,1,C5,鹏博士/电信,pc_exe_template,3203,0,3
1581772320,7,2500,1,C8,移动,pc_exe_template,3203,2,114
1581771540,3,8000,1,C3,移动,pc_exe_template,3203,2,3
1581771780,7,2500,0,C1,浙江华数/联通,pc_exe_template,3203,0,3
1581771900,7,8000,1,C3,黑龙江广电,pc_exe_template,3203,0,1
1581772140,7,-1,0,C2,电信,pc_exe_template,3203,0,2
1581772380,7,500,1,C1,方正宽带/电信,pc_exe_template,3203,0,3
1581771300,5,2500,1,C5,广东广电/联通,pc_exe_template,3203,0,3
1581771480,3,500,1,C1,湖北广电,pc_exe_template,3203,0,3
1581771480,7,500,0,C6,广电网,pc_exe_template,3203,0,5
1581771720,5,4500,0,C2,移动,pc_exe_template,3203,0,13
1581771720,7,2500,0,C2,联通,pc_exe_template,3203,6,154
1581771780,5,4500,1,C3,电信,pc_exe_template,3203,3,74
1581771840,7,2500,0,C1,广东广电/联通,pc_exe_template,3203,1,1
1581771960,7,500,1,C3,telecomitalia.it,pc_exe_template,3203,1,1
1581772260,3,2500,0,C2,联通,pc_exe_template,3203,0,33
1581772080,7,4500,0,C2,电信,pc_exe_template,3203,3,62
1581772380,5,2500,1,C1,*,pc_exe_template,3203,0,3
1581772440,7,2500,0,C2,移动,pc_exe_template,3203,0,4
1581771300,3,500,0,C2,联通,pc_exe_template,3203,0,3
1581771300,7,2500,0,C2,浙江华数/联通,pc_exe_template,3203,2,6
1581771420,3,500,0,C5,联通,pc_exe_template,3203,0,3
1581771540,7,2500,1,C3,黑龙江广电,pc_exe_template,3203,0,2
1581771780,5,0,1,C5,联通,pc_exe_template,3203,0,1
1581771960,3,4500,1,C3,浙江华数/联通,pc_exe_template,3203,3,3
1581772140,5,500,0,C2,广电网,pc_exe_template,3203,0,3
1581771420,3,2500,1,C1,广电网/联通,pc_exe_template,3203,0,2
1581771600,7,2500,0,C1,湖北广电,pc_exe_template,3203,0,18
1581771660,7,500,0,C1,移动,pc_exe_template,3203,0,34
1581771840,7,-1,0,C2,广电网,pc_exe_template,3203,1,1
1581772140,7,2500,0,C8,移动,pc_exe_template,3203,0,5
1581772140,7,4500,1,C3,歌华有线/铁通,pc_exe_template,3203,0,2
1581772260,3,8000,0,C6,电信,pc_exe_template,3203,0,11
1581771240,7,2500,1,C1,东方有线/电信/联通/移动,pc_exe_template,3203,0,3
1581771660,7,0,0,C2,联通,pc_exe_template,3203,0,65
1581771960,7,8000,1,C1,移动,pc_exe_template,3203,5,200
1581772440,7,2500,1,C1,鹏博士/电信,pc_exe_template,3203,0,1
1581771540,5,500,1,C1,yes.my,pc_exe_template,3203,0,3
1581771900,7,0,0,C2,移动,pc_exe_template,3203,10,323
1581771960,5,8000,1,C1,鹏博士,pc_exe_template,3203,0,3
1581772380,5,8000,1,C1,电信,pc_exe_template,3203,1,38
1581772440,3,0,0,C2,移动,pc_exe_template,3203,0,1
1581772440,7,2500,1,C1,广西广电/联通,pc_exe_template,3203,0,1
1581771540,7,2500,0,C3,联通,pc_exe_template,3203,2,5
